city,date,fare,ride_id
Jonesmouth,2018-03-05 16:58:11,18.54,2941517403657
West Laurenshire,2018-02-19 20:37:59,35.01,4534213986982
Lake Adambury,2018-02-12 15:14:35,10.85,2819012191280
Danaville,2018-03-18 18:38:27,26.48,3455560028952
South Robinmouth,2018-01-02 17:41:25,36.53,2465252946526
Port Michelle,2018-03-04 02:24:04,36.81,1454926575439
Piercemouth,2018-02-15 16:17:32,44.42,5941855229435
North Carlos,2018-01-07 13:59:41,5.28,7412983264912
Lake Derek,2018-02-24 01:13:30,22.85,2631808957142
Lake Derek,2018-03-14 21:46:36,6.69,3519434917558
Johnathanburgh,2018-02-20 08:24:11,15.8,6410081210160
Port Kathleenburgh,2018-01-31 20:07:06,19.2,6810232648888
Mckenzieville,2018-01-16 07:26:48,7.77,6285176887639
Davidville,2018-03-13 14:43:57,34.09,4136242531753
West Shannon,2018-02-09 16:49:31,9.54,7007570437482
South Michael,2018-02-09 01:51:22,44.94,6406422338761
Johnathanburgh,2018-01-24 10:19:33,40.78,5684310392694
Johnathanburgh,2018-02-14 08:03:46,22.12,2612923607815
South Michael,2018-02-04 06:38:44,38.25,1036081489167
New Davidbury,2018-01-15 15:53:28,17.83,3210039131348
Brendamouth,2018-03-07 06:01:46,11.96,9087689206238
Thompsonbury,2018-01-25 15:04:55,35.19,0864795993479
West Jessicamouth,2018-02-06 22:38:07,14.9,3487845998643
Port Kathleenburgh,2018-02-18 15:48:51,13.43,2077683399941
North Elaineberg,2018-01-06 07:04:53,12.39,8545192838137
West Jessicamouth,2018-03-01 06:05:27,15.76,1189980580517
Mackshire,2018-02-18 09:20:48,19.82,8356948054721
Jonesmouth,2018-01-12 04:44:13,32.94,8718968655218
Lake Adambury,2018-03-12 13:48:27,4.75,2859107458034
North Richardshire,2018-02-07 23:14:01,31.96,2722401560164
West Janetstad,2018-01-27 20:36:32,4.46,7482463129826
West Jessicamouth,2018-03-17 15:16:08,26.56,8559667603892
Thompsonbury,2018-01-12 22:39:26,25.35,3670009066061
North Valerie,2018-03-02 15:55:49,10.78,3382819307912
Jonesmouth,2018-01-28 09:20:29,37.06,2565047757389
East Richard,2018-02-14 06:27:19,23.17,8164909667237
Thompsonbury,2018-01-28 12:18:58,21.03,1021896392986
North Elaineberg,2018-02-15 06:35:19,41.16,3415352701500
South Michael,2018-01-23 01:40:52,17.43,9409506731721
Codyport,2018-01-27 13:09:21,24.55,4709810919941
North Elaineberg,2018-02-10 15:50:07,34.95,2702232548845
Cartertown,2018-02-13 02:10:33,5.15,6003184907138
Lake Derek,2018-03-08 17:40:46,22.98,7776401377401
Mirandastad,2018-01-28 14:03:36,35.56,1220355316079
Markchester,2018-03-04 15:07:03,14.94,6335834938651
Danaville,2018-03-18 23:10:32,12.84,7342943936651
Brucefurt,2018-03-07 14:05:38,23.98,9194469464181
Port Ann,2018-02-22 18:48:47,9.8,5920322536399
North Elaineberg,2018-02-28 20:53:36,15.06,6052528288822
Bergermouth,2018-02-07 14:52:56,12.06,7961484346219
East Richard,2018-03-17 06:34:08,23.2,6954563555733
West Jessicamouth,2018-01-21 15:39:11,9.96,6574060005625
Floresfort,2018-02-18 02:18:41,6.32,6489871466155
East Corey,2018-01-04 21:20:51,14.75,0337391478355
East Richard,2018-03-14 02:10:47,34.01,4149561964850
West Carmen,2018-02-14 17:40:30,42.0,5677899034826
Danaville,2018-01-18 07:16:20,27.14,2459952523545
New Cynthiaport,2018-01-05 21:17:04,43.68,6503211798697
West Shannon,2018-01-26 21:51:16,18.69,0152405397060
Codyport,2018-01-09 12:44:34,12.13,0843556609019
North Elaineberg,2018-03-19 05:34:21,26.02,9548101899297
West Janetstad,2018-01-26 04:31:10,22.01,6976032332034
New Patriciafurt,2018-02-23 13:10:13,9.44,8409473068982
North Carlos,2018-03-18 11:21:02,4.94,5960385451277
Davidbury,2018-03-17 16:20:02,5.12,1832227668775
Fuentesshire,2018-02-15 09:58:28,21.12,5936759469995
Floresfort,2018-01-26 19:59:14,37.97,4099101005584
New Christopher,2018-02-25 02:12:27,14.21,3960479616713
Port Jennifer,2018-03-15 04:59:37,27.96,0260782922925
New Patriciafurt,2018-01-05 20:24:48,44.67,4120147607293
Josephside,2018-02-17 01:03:43,43.85,5713316158369
Johnathanburgh,2018-02-19 07:47:04,18.34,8912355721535
Johnathanburgh,2018-02-19 01:38:31,15.28,3023488969604
South Tylerbury,2018-01-24 02:07:41,44.89,4430476157223
Brendamouth,2018-01-10 06:44:31,28.0,3525370338449
West Shannon,2018-01-27 00:48:06,26.9,1892497747198
South Jose,2018-01-17 01:52:11,43.41,8836528506623
North Elaineberg,2018-03-10 10:46:37,36.61,1742557764798
Davismouth,2018-02-26 22:00:51,18.41,3054399139299
Robinsonfurt,2018-03-03 18:36:27,18.23,1052253234113
New Patriciafurt,2018-01-14 14:48:57,31.27,9582562291955
Piercemouth,2018-01-11 20:34:53,19.39,7523262971404
Port Jennifer,2018-03-03 08:13:52,44.69,0423003056766
Port Tracychester,2018-01-08 06:19:06,44.57,0699918617488
Mirandastad,2018-02-02 11:18:41,28.01,7819338405967
Codyport,2018-02-01 02:18:31,8.8,2066913723144
Wardhaven,2018-02-03 22:37:36,10.96,4805152847123
Josephside,2018-02-27 15:38:56,30.52,5221631954233
South Jose,2018-03-04 08:26:16,39.81,9508078598296
Josephside,2018-03-10 10:20:54,13.79,3581496049188
Floresfort,2018-01-27 10:17:00,6.78,3252391109498
Mckenzieville,2018-01-21 01:08:14,32.17,2638206308101
North Richardshire,2018-01-03 17:28:32,19.62,5087575369744
Markchester,2018-02-08 07:03:24,37.79,9189760181912
Thompsonbury,2018-01-10 07:29:53,21.49,1466018642486
Robinsonfurt,2018-03-18 09:53:04,15.05,4401515017907
South Michael,2018-01-30 11:00:57,13.87,4632603477925
Davidbury,2018-03-11 13:05:39,28.19,6525634543357
West Shannon,2018-01-22 00:48:08,22.16,4235210844496
Wardhaven,2018-03-02 15:00:01,17.86,5521707064775
East Richard,2018-02-23 08:46:43,19.7,5855163936162
Jonesmouth,2018-01-19 16:18:36,13.63,5137277560168
South Robinmouth,2018-03-12 00:42:35,17.98,9459982960160
Lake Adambury,2018-02-19 01:13:36,16.48,1517217926492
Wardhaven,2018-01-26 21:02:04,27.45,9433730942363
West Janetstad,2018-01-08 21:42:33,4.77,5562630922930
Port Tracychester,2018-02-24 18:34:38,38.22,7175041362882
Jonesmouth,2018-02-02 11:08:10,21.73,3414420840639
Mackshire,2018-02-08 02:59:59,26.08,0433999757837
Port Kathleenburgh,2018-01-05 10:24:34,8.04,5978062468562
Brucefurt,2018-03-06 12:02:41,40.94,2443471420614
Lake Adambury,2018-02-25 16:23:34,28.18,5785119977645
Davismouth,2018-03-15 16:58:48,19.62,8150185561321
South Michael,2018-02-27 23:51:45,22.09,8049344765130
North Josephshire,2018-03-04 22:56:01,24.22,2367152932534
New Christopher,2018-02-05 13:52:38,31.22,5314131198877
Jonesmouth,2018-01-23 12:01:39,39.72,7727517720933
East Danny,2018-01-08 09:08:32,18.36,2987396286417
North Elaineberg,2018-02-13 18:15:02,18.13,7853509246829
North Carlos,2018-02-17 06:04:55,21.05,5498935202128
Mirandastad,2018-01-16 02:27:10,8.28,4817813877646
South Robinmouth,2018-02-22 01:07:53,19.16,8496002790407
Piercemouth,2018-03-01 05:33:41,8.97,5214431636195
Cartertown,2018-03-17 17:00:43,22.11,6004501735595
North Richardshire,2018-03-17 12:27:44,14.24,5654054340985
Karatown,2018-01-04 13:25:21,33.38,6260923774844
Nicoleport,2018-03-11 17:36:51,32.0,6414427374240
Davismouth,2018-02-17 05:34:05,28.48,6614910896611
Floresfort,2018-03-05 09:24:42,11.1,2183088025429
West Shannon,2018-02-20 16:15:38,27.39,2212616675857
Port Michelle,2018-01-09 18:10:59,30.44,1973022966564
Lake Denisebury,2018-02-25 16:57:53,25.37,3118180731649
North Elaineberg,2018-03-17 12:18:10,40.34,2116609492677
Brucefurt,2018-01-24 14:11:41,36.41,1588404356149
Karatown,2018-02-25 13:59:37,16.77,1457775856339
West Carmen,2018-01-05 15:11:14,38.5,8144682569126
East Danny,2018-02-21 21:29:05,6.86,5974956156225
South Michael,2018-01-15 13:06:42,40.93,2627859442263
Wardhaven,2018-01-04 20:49:28,23.61,0004302415364
North Richardshire,2018-02-08 12:20:13,14.7,5635740648080
Port Ann,2018-01-13 11:58:52,25.34,2352204735737
South Michael,2018-01-28 22:34:59,6.88,6584598343977
Davismouth,2018-03-15 06:25:54,6.76,6569348886782
Mckenzieville,2018-02-03 03:37:30,21.04,6271050573132
Davismouth,2018-02-26 23:36:48,28.74,6767249257315
West Carmen,2018-02-04 10:37:38,8.5,0183176826718
Thompsonbury,2018-01-07 08:34:28,18.7,7277327573460
Port Tracychester,2018-01-13 11:08:37,23.06,9588720267312
North Katie,2018-01-24 00:49:09,20.4,5439097619270
Port Tracychester,2018-01-31 11:31:57,36.9,5147816096393
Nicoleport,2018-01-29 19:18:38,34.89,1763023732202
Mackshire,2018-02-10 01:35:16,12.71,4364644339435
West Laurenshire,2018-01-04 11:50:18,39.96,0961443014088
Mackshire,2018-01-12 19:17:15,29.72,5401397553523
Karatown,2018-01-05 11:13:35,4.49,0169174665733
Piercemouth,2018-02-18 22:43:54,34.83,0655164474732
Lake Adambury,2018-03-02 23:41:31,11.62,5842042537503
Johnathanburgh,2018-02-23 14:00:41,30.92,6837972583613
South Jose,2018-03-13 08:02:40,12.72,4357177728456
East Chelseashire,2018-02-22 23:34:52,10.91,7224441552543
West Laurenshire,2018-01-05 04:14:51,20.82,4230250953252
West Laurenshire,2018-02-28 03:23:43,38.49,5511890403215
East Joshua,2018-02-15 01:29:33,31.28,2521486216436
Mackshire,2018-03-01 16:53:38,37.19,9973375031874
Robinsonfurt,2018-03-07 22:01:24,5.71,7323049695109
Thompsonbury,2018-02-23 11:59:32,34.5,5537803691043
Lake Denisebury,2018-02-13 20:05:31,43.56,7562118413071
Port Tracychester,2018-01-04 17:44:24,26.03,0355993438485
West Shannon,2018-03-05 23:56:01,30.79,7972349832358
South Melissa,2018-02-09 01:40:46,26.69,7046125571530
New Davidbury,2018-02-24 18:34:35,14.15,5361502399487
South Tylerbury,2018-02-10 19:54:23,7.24,7336251682874
Brucefurt,2018-02-28 22:09:47,20.17,9675683797298
South Jose,2018-01-16 05:55:09,5.36,0605639692437
West Shannon,2018-02-27 09:24:24,21.73,5374041857394
Codyport,2018-01-30 19:20:16,36.52,5782306811010
North Richardshire,2018-02-01 20:50:39,30.07,3522135697759
Wardhaven,2018-03-02 18:55:53,39.05,0561937432383
Floresfort,2018-01-23 02:03:48,8.14,2343413981619
Mirandastad,2018-02-24 05:26:15,35.91,3557563580632
New Christopher,2018-01-31 10:12:09,25.04,6496329971505
West Shannon,2018-01-26 09:38:14,19.21,3798158074482
Cartertown,2018-01-07 12:08:01,14.79,4238883627564
West Carmen,2018-01-09 00:09:54,8.32,8524062758379
South Tylerbury,2018-03-16 11:26:48,4.65,5918061459505
Codyport,2018-02-14 13:23:41,30.95,7917985143246
East Richard,2018-03-17 06:29:09,7.13,4987660277675
North Carlos,2018-02-26 12:02:38,13.37,5469049084467
East Richard,2018-03-15 13:59:02,18.67,2506430591173
Port Kathleenburgh,2018-03-15 10:04:43,4.12,7988533535516
Lake Derek,2018-01-30 05:22:49,35.62,1089962121090
Port Jennytown,2018-02-27 14:57:45,12.98,4146470690030
North Katie,2018-01-20 12:18:29,39.8,8249460815966
Lake Derek,2018-01-31 06:59:29,7.13,5357776409069
Cartertown,2018-01-03 09:56:11,40.15,1553536891547
Lake Derek,2018-02-11 08:10:30,21.46,5717810304574
New Cynthiaport,2018-02-03 03:11:52,23.19,6906971327167
Karatown,2018-02-18 01:09:48,27.43,8514757318872
North Richardshire,2018-03-04 15:10:57,44.3,8158562550166
West Shannon,2018-03-19 07:24:45,14.55,5063886462022
Jonesmouth,2018-03-08 20:57:56,38.14,0928747064676
North Richardshire,2018-03-02 23:12:21,17.14,1469118008190
North Katie,2018-01-01 01:03:10,43.9,1411771226640
South Michael,2018-03-14 04:31:11,42.09,0556260634948
Nicoleport,2018-01-24 03:32:02,9.42,4975527514056
Floresfort,2018-01-11 22:50:27,43.28,7718024154380
Davismouth,2018-01-20 10:22:12,39.22,6128893978764
West Jessicamouth,2018-02-24 18:31:38,5.27,0226143874401
North Josephshire,2018-01-17 22:35:17,29.82,0504630306803
West Laurenshire,2018-02-05 08:10:03,23.61,3049260182030
Davidbury,2018-01-26 06:04:52,11.84,4008601475773
North Richardshire,2018-03-14 14:07:19,39.19,1132141414961
Wardhaven,2018-02-09 14:15:47,12.38,1924283277265
East Joshua,2018-03-08 14:29:46,23.31,3083652041499
Cartertown,2018-01-24 01:31:17,13.29,1168018224289
Davismouth,2018-01-07 08:32:07,44.42,1270189463340
Piercemouth,2018-01-04 07:34:36,16.38,2098073947733
North Richardshire,2018-02-22 06:26:42,6.64,4965223714645
New Julieborough,2018-01-25 22:21:13,10.08,8192312084457
West Shannon,2018-01-26 03:35:08,25.51,2231740596913
Port Jennytown,2018-03-13 10:24:13,10.57,8882700488355
South Melissa,2018-03-15 18:56:45,41.19,3252485860342
Wardhaven,2018-01-11 15:34:06,15.9,2752232540066
Lake Denisebury,2018-02-06 10:15:57,26.78,4188382966292
Mackshire,2018-01-27 05:35:11,15.96,8125471345435
South Robinmouth,2018-01-25 10:11:48,26.3,7933863345625
Josephside,2018-03-03 06:50:27,4.69,7284975866189
Robinsonfurt,2018-02-17 12:10:34,6.71,1227237360137
East Richard,2018-01-13 03:58:57,26.56,2708939941309
Piercemouth,2018-02-04 17:45:43,10.34,9514265159843
Robinsonfurt,2018-03-12 21:35:31,23.98,9757113153390
East Joshua,2018-01-20 19:09:11,24.59,8636077162895
West Shannon,2018-01-21 16:01:11,41.05,6817111689093
South Robinmouth,2018-01-12 12:09:51,21.37,7103979369239
Davisberg,2018-02-07 00:45:12,18.45,5113324686425
East Bonnieberg,2018-02-28 06:20:54,26.23,7941869681494
South Michael,2018-02-13 08:33:18,26.76,3893868356788
Lake Adambury,2018-01-06 06:27:53,14.63,2339815679162
South Melissa,2018-03-18 06:03:19,24.72,8789940391981
West Laurenshire,2018-03-06 15:01:06,42.87,7951454708116
South Melissa,2018-03-14 00:07:30,35.58,8342212550372
New Patriciafurt,2018-01-11 18:55:03,42.83,6300912170148
North Katie,2018-01-25 20:19:53,18.4,6542298852687
Mackshire,2018-01-15 02:08:59,14.63,0443152467664
New Patriciafurt,2018-03-17 07:30:44,29.4,3215661784276
Josephside,2018-03-08 23:53:29,5.48,8516099540386
Mackshire,2018-02-23 19:08:56,20.92,2926958713060
Davidbury,2018-01-08 04:37:09,6.53,1463421997059
North Valerie,2018-03-17 11:17:03,41.55,3905447370884
West Shannon,2018-03-03 05:03:34,27.43,0196197090334
South Michael,2018-01-31 00:28:22,7.17,9062894597951
Codyport,2018-03-04 05:04:38,44.52,0692946112161
Curtishaven,2018-01-18 19:44:16,26.4,0392465021264
North Valerie,2018-03-19 04:12:22,24.69,9844952716937
New Davidbury,2018-01-13 15:39:50,21.27,0951246929016
Josephside,2018-03-04 00:57:10,11.4,6816232211329
South Melissa,2018-01-12 19:15:06,38.9,8088581566988
Karatown,2018-01-19 16:43:39,33.15,1393695902223
North Elaineberg,2018-02-25 23:18:28,13.33,8605230232089
Robinsonfurt,2018-02-20 20:46:54,38.78,3343691898479
North Josephshire,2018-02-01 11:48:31,23.15,6131281223049
Piercemouth,2018-02-08 12:26:10,25.96,3844015583694
Davidville,2018-02-28 13:50:21,13.93,3189215120226
West Janetstad,2018-01-16 22:53:06,21.55,5294490801406
New Julieborough,2018-02-05 02:56:38,41.09,0990142032086
Fuentesshire,2018-02-16 17:32:55,31.18,0809469999708
Port Kathleenburgh,2018-02-06 07:37:19,30.57,5131390253365
Holmesshire,2018-02-25 23:07:58,13.62,9785940307860
Danaville,2018-02-18 19:08:51,27.91,5721777468361
Lake Derek,2018-02-02 21:39:33,35.5,7486019485138
West Carmen,2018-02-12 04:01:49,17.17,8162024220108
New Julieborough,2018-02-23 12:07:48,8.46,5428858989059
East Richard,2018-03-02 16:43:56,20.35,0166642052101
East Joshua,2018-02-13 12:34:48,12.8,6736671197100
Port Ann,2018-03-18 18:55:38,8.54,1992050667670
Port Kathleenburgh,2018-03-11 12:44:24,26.34,3058314012209
Codyport,2018-03-06 17:08:49,23.83,7302731473652
New Cynthiaport,2018-03-08 09:32:39,44.92,5498253844703
South Michael,2018-03-02 04:21:48,6.21,0025621114332
West Laurenshire,2018-01-13 00:32:29,44.15,3266661096869
North Richardshire,2018-02-20 03:25:19,27.77,8340689611060
South Melissa,2018-01-06 02:58:38,24.55,2461714519734
Thompsonbury,2018-02-10 06:12:44,44.37,5786505699806
South Tylerbury,2018-03-01 16:09:52,37.55,4670780888158
Mackshire,2018-03-12 21:43:13,37.95,4451986452172
Mackshire,2018-01-26 10:45:50,11.37,1075542899527
South Tylerbury,2018-01-01 07:29:01,29.29,5508192913863
Davidbury,2018-01-23 12:34:17,11.54,9707322219363
North Katie,2018-02-13 11:50:25,4.19,4464967644954
South Melissa,2018-02-03 03:16:59,27.01,1862280475539
Port Jennytown,2018-01-17 17:26:55,4.78,3480311355094
Lake Derek,2018-02-21 17:18:49,27.85,4371864841563
Davidbury,2018-01-07 05:59:13,37.33,6058045273129
South Michael,2018-02-25 10:19:25,32.52,8240719687280
New Christopher,2018-02-05 00:10:09,9.64,2971029196846
Brendamouth,2018-01-05 15:53:59,7.27,7296445410426
New Jamesbury,2018-01-26 17:30:12,37.14,2540140180326
East Joshua,2018-02-23 02:07:31,34.56,8081978170324
Holmesshire,2018-02-10 02:37:28,4.38,7364189301796
Cartertown,2018-02-02 17:42:11,9.81,8057414303021
North Richardshire,2018-02-01 06:54:48,34.18,6910744765391
Danaville,2018-03-19 06:43:56,27.23,2582573472654
East Chelseashire,2018-03-02 05:05:27,18.07,4670819796430
East Bonnieberg,2018-02-03 11:44:39,26.17,2278881988252
South Tylerbury,2018-01-21 05:51:07,13.51,7128998072410
Nicoleport,2018-01-09 10:30:52,26.25,3982164454486
Lake Derek,2018-01-16 11:11:33,44.92,8801839101515
East Danny,2018-02-26 00:10:23,33.41,1315242266473
Codyport,2018-01-22 11:58:31,41.03,1733040451219
New Julieborough,2018-03-02 04:27:33,7.54,2292342003407
Port Michelle,2018-02-18 05:43:03,17.88,2418459462078
Danaville,2018-01-04 22:16:54,37.24,2443012679747
South Robinmouth,2018-01-30 00:33:49,20.49,5813856976161
Davidbury,2018-03-05 05:28:17,11.12,8033525042349
Port Tracychester,2018-01-17 01:34:57,13.78,0233737982695
Jonesmouth,2018-02-18 03:03:35,23.43,8775988251684
Cartertown,2018-01-01 11:32:57,21.75,2591945415014
North Carlos,2018-02-10 23:25:43,14.22,0439205122536
West Shannon,2018-02-03 23:40:02,34.44,7124295764362
Piercemouth,2018-03-15 07:22:00,38.79,1621310522526
Mckenzieville,2018-03-11 17:33:04,29.63,9979131493207
Curtishaven,2018-02-27 02:24:37,6.1,4693842517735
Karatown,2018-03-11 13:23:29,44.42,6121801376263
North Richardshire,2018-01-29 13:13:11,8.2,8323128548639
Port Tracychester,2018-02-24 11:18:38,34.7,4632751130208
Curtishaven,2018-01-24 16:59:26,7.08,4092484276398
South Robinmouth,2018-01-19 19:41:17,23.46,1425364084623
South Michael,2018-01-25 16:16:09,6.7,2716773661321
Holmesshire,2018-01-24 06:46:01,21.13,5393805129591
North Josephshire,2018-01-15 14:28:23,5.35,2931071649585
Port Tracychester,2018-03-03 23:20:34,24.83,0154000326865
Wardhaven,2018-03-09 01:12:21,34.05,6763163945178
West Janetstad,2018-02-22 14:41:12,32.7,5900836180684
Robinsonfurt,2018-01-16 18:29:40,11.52,9216263734847
Mackshire,2018-01-11 09:17:50,11.69,4261997197180
Port Jennytown,2018-01-01 19:44:33,33.08,6560610664251
New Cynthiaport,2018-02-22 06:49:36,39.95,2452647511544
Josephside,2018-03-16 19:09:07,8.0,0212761848801
Floresfort,2018-01-31 17:46:02,26.66,1081154734224
South Jose,2018-02-05 18:23:11,40.6,0300805340135
Robinsonfurt,2018-03-15 14:50:56,14.11,4036605617158
Robinsonfurt,2018-01-24 23:56:03,21.62,1945145403837
Davidbury,2018-02-04 05:04:19,9.97,4225176080571
Lake Derek,2018-03-15 08:03:44,19.71,9641907125734
West Laurenshire,2018-02-18 12:03:51,4.07,7853279981272
Port Jennytown,2018-03-09 06:16:56,4.18,6338818432541
New Patriciafurt,2018-02-20 20:19:59,10.94,2091602917108
Nicoleport,2018-02-19 20:09:20,27.28,7746871507967
Karatown,2018-03-09 22:04:03,20.21,0982472874375
